"image_id","file_path","source_type","source_url","license","permission_status","contains_filter","split","notes"
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=MZqZCLqHyEIIircJIhWhtg&portalId=P1,,,,unassigned,타입E 1번 화살표가 각인된 부분 3곳을 누르세요. (딸깍 소리와 함께 공기 흡입구가 열립니다.) | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=lh8j8GeJlMF3o8h11v4A&portalId=P1,,,,unassigned,고정걸이 두 곳을 눌러 프리필터를 꺼내세요. | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=qKo6q6lEoHdXY7fieHLjA&portalId=P1,,,,unassigned,극초미세 먼지 필터의 고정 걸이 두 곳을 눌러 극초미세 먼지 필터를 꺼내세요. | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=RUd704mnRozjUtRfgCf5Q&portalId=P1,,,,unassigned,광촉매 탈취필터를 잡아당겨 꺼내세요. | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=oyKh9GrWTeDZpSiBlqZFIQ&portalId=P1,,,,unassigned,분리한 필터를 진공청소기나 부드러운 솔로 청소해 줍니다. | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=4nCQpRMGPtJYki3PyHK4dg&portalId=P1,,,,unassigned,프리필터를 바람이 잘 통하고 그늘진 곳에서 말리세요. | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=lMbBhURfkX32jAgLdDHIfw&portalId=P1,,,,unassigned,광촉매 탈취필터 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=vmcCJtIY1rvwBFl6URXUoA&portalId=P1,,,,unassigned,극초미세 먼지 필터 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=7OMGUGozJyYSZZSroBwRQ&portalId=P1,,,,unassigned,칸/위너 왼쪽으로 당겨 꺼내는 모습 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=g3RjJsrThWf5sokIqXGoww&portalId=P1,,,,unassigned,필터케이스를 왼쪽으로 당겨서 꺼낸 후 필터케이스와 3M필터를 청소 후 다시 제자리로 조립하는 모습 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=HM0DR9dJSbUR2jWfcW7Hg&portalId=P1,,,,unassigned,양쪽의 필터 손잡이를 당겨 필터를 분리하는 모습 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=mcPjT7TGjvTLLl6B6uEw&portalId=P1,,,,unassigned,"상하, 양쪽의 필터 손잡이를 당겨 필터를 분리하는 모습 / 극세 필터 : 물 세척 가능 / 플러스 필터 : 물 세척 금지 | LG official support image candidate; verify visual relevance before Roboflow labeling"
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=TL8qVGvZnSKDqOzgJi3cg&portalId=P1,,,,unassigned,필터와 극세 필터를 분리 / 극세필터 : 물 세척 가능 / 초 미세 플러스 필터 또는 스모그 탈취 필터 : 물 세척 금지 / 초 미세 플러스 필터 또는 초미세 먼지 필터 : 물 세척 금지 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=XYLJ2uzcTDx7CQXEbTIBBQ&portalId=P1,,,,unassigned,뷰 에어컨 후면 극세 필터를 옆으로 당겨서 꺼내는 그림 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=5xUJ2xD3rz2WkRniSE0LA&portalId=P1,,,,unassigned,뷰 에어컨 극세 필터는 물세척이 가능하고 안에 있는 알러지케어 집진 필터는 물세척이 불가능 하다는 그림 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=brx90uanEvvgH1nRWK4N5Q&portalId=P1,,,,unassigned,뷰 에어컨 후면 극세 필터를 옆으로 당겨서 꺼내는 그림 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=TdxlmmwfuFNuihH784qokQ&portalId=P1,,,,unassigned,쿨 에어컨 극세 필터는 물세척이 가능하고 안에 있는 알러지케어 집진 필터는 물세척이 불가능 하다는 그림 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=JzMqBUB9JATzXL0Xx3QL3w&portalId=P1,,,,unassigned,A Type 에어컨의 앞면의 양쪽을 잡고 위로 열어주는 모습 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=HLN0U256jwBa2ZeTPwJldg&portalId=P1,,,,unassigned,A Type 에어컨의 필터를 아래로 당겨 꺼내는 모습 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=xmFNCdKQlaYyplXkjwt4IQ&portalId=P1,,,,unassigned,B Type 에어컨의 상단 흡입부를 위로 열어주는 모습 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=NUxS1aL7gdACbAjqfwMkQ&portalId=P1,,,,unassigned,B Type 에어컨의 상단부 필터를 위로 들어 분리하는 모습 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=EkhV31gZWcjZjrBzHu30g&portalId=P1,,,,unassigned,"필터 교체 순서. 필터 케이스 분리, 후크를 눌러 초미세플러스필터 제거, 새 3M 필터 장착. 필터 케이스 장착. | LG official support image candidate; verify visual relevance before Roboflow labeling"
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=sBaU94FkNVF4VdwOpB9sAw&portalId=P1,,,,unassigned,"초미세 미니 필터 또는 스모그 탈취 필터 물 세척 금지 / 초미세 플러스 필터 또는 초미세 먼지 필터 물 세척 금지 / 후크를 열어 가운데 필터 및 위, 아래 필터를 꺼낸 후 극세 필터가 보이고 극세 필터는 물 세척 가능 | LG official support image candidate; verify visual relevance before Roboflow labeling"
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=E3pPXd3phKIWqRuQp1g&portalId=P1,,,,unassigned,극세 필터 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=MBHbieq3gBT8pjGNyuxUmg&portalId=P1,,,,unassigned,초미세 플러스 필터 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=s93ct0Gz8XmCtwygHl8IxA&portalId=P1,,,,unassigned,초미세 미니필터 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=z3RU1abtMi3qS2DRQmMdg&portalId=P1,,,,unassigned,탈취 필터 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=wmCU6cQOG9umszDi0Agaww&portalId=P1,,,,unassigned,플라즈마 집진 필터 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=gRPeFYliodiCw7U8UmQzg&portalId=P1,,,,unassigned,집진 필터 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=CYfUaCPKDZkbFewB3OjoAA&portalId=P1),,,,unassigned, | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=81CJtgOoS8EBzjcpk4oCvA&portalId=P1),,,,unassigned, | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=e6Br68S0ipa4zVZ3ZhqQ&portalId=P1);background-size:100%;},,,,unassigned, | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=cSrRVKKz6eHJNHzIRgzWA&portalId=P1);},,,,unassigned, | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=Ut86lQxtr7IjBAsNzT427w&portalId=P1),,,,unassigned, | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=G4N8hGn6nUhnYwrSvODsw&portalId=P1),,,,unassigned, | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=Xw5rvb0UTyjfo1LwHfIJ7w&portalId=P1),,,,unassigned, | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=qJ5OsI2rgJ1U28G8j18yZA&portalId=P1,,,,unassigned,1. 극세 필터 덮개 분리하기 2. 극세 필터 분리하기 3. 극세 필터 청소하기 4. 극세 필터 건조하기 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=HNXDwm0vCALJl916RZmKzw&portalId=P1,,,,unassigned,창문형 에어컨의 극세 필터 덮개 및 극세 필터를 분리한 후 물로 세척하고 그늘에 말리는 그림 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=3biFfv2xSOboSVQ2pyzS6g&portalId=P1,,,,unassigned,싱글 호스 이동식 에어컨의 극세 필터 덮개 및 극세 필터를 분리한 후 물로 세척하고 그늘에 말리는 그림 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=KABgf0Wrx55dWiZN53z1LQ&portalId=P1,,,,unassigned,듀얼 호스 이동식 에어컨의 호스 아래 나사를 제거 후 필터를 분리한 후 물로 세척하고 그늘에 말리는 그림 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=C0LmTYIVxtAkAwXtplMzg&portalId=P1,,,,unassigned,전면 그릴의 도어락 2개를 누르는 모습 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=Kj8YB6QZZNjn3FlAWLsaw&portalId=P1,,,,unassigned,전면 그릴이 열린 상태에서 필터를 분리하는 모습 | LG official support image candidate; verify visual relevance before Roboflow labeling
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=PmndSXXAWosyZsPtEJt2g&portalId=P1,,,,unassigned,"분리한 필터를 부드러운 솔로 청소를 하거나, 중성세제를 탄  물에 청소하는 모습 | LG official support image candidate; verify visual relevance before Roboflow labeling"
,,lg_official_support_public_page,https://gscs.lge.com/gscs/support/fileupload/downloadFile.do?fileId=c1VrEou5V1LaSQBxBC7aQ&portalId=P1,,,,unassigned,전면 그릴의 뒤쪽연결고리를 제품에 거는 모습 | LG official support image candidate; verify visual relevance before Roboflow labeling
